language,location,message
en,,RT @dearsusanbranch: Want GOOD NEWS darling girls? One BILLION donated so far to rebuilding Notre Dame!!! One Billion Fifty counting me!!!…
en,Toronto. Canada,"RT @nicolas_veron: It appears that #NotreDame’s three great roses have survived the heat of yesterday’s fire, perhaps not intact but still…"
de,Daxhausen Nasdaq,"RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
fr,,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/o6j9xMVqU0 via @Le_Figaro
en,Australia,"RT @ramzpaul: ""The fire could not start from a short circuit, from a single incident. It takes a real heat load at the start to launch such…"
fr,"Thionville, France",RT @Ubisoft: In solidarity with everyone moved by Monday's events we’re donating to the restoration of Notre-Dame &amp; giving you the chance t…
en,"Minnesota, USA","RT @incunabula: If you're in the US and would like to donate to the restoration of the Cathedral, this is the official fund. The Friends of…"
en,,"""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circ… https://t.co/pEObvPHn4E"
tr,ISTANBUL/TURKEY,RT @UK_FranceFR: An incredible wave of solidarity has risen over the past few days to save and rebuild #NotreDame. We just want to thank yo…
fr,"Amman, Jordan",All together with Orange for the revival of Notre Dame via @orange https://t.co/0s7El4rHk2
en,North Borneo,"RT @MrAndyNgo: How should the Notre Dame be rebuilt? @ejdickson argues: “Any rebuilding should be a reflection not of an old France, or the…"
fr,"Stanford, CA",RT @franceintheus: We have received multiple requests about how you can help with the reconstruction of Notre-Dame. Donations to help save…
en,United States,RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
fr,"Stanford, CA",RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
en,,RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
fr,"Paris, Ile-de-France","Bravo Tonton !
https://t.co/q0KraqfMSF"
en,"Ottawa, Canada","i wonder how much the catholic church is putting up. i feel like they've probably got the pockets, as well as a sig… https://t.co/arwPnFCHaz"
en,,RT @NathalieChuc: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/NLGVCdVPlz
en,"FairburnGeorgia,USA",RT @dearsusanbranch: Want GOOD NEWS darling girls? One BILLION donated so far to rebuilding Notre Dame!!! One Billion Fifty counting me!!!…
en,,"RT @ramzpaul: ""The fire could not start from a short circuit, from a single incident. It takes a real heat load at the start to launch such…"
en,,"The internal roof structure at Reims Cathedral was rebuilt in concrete in the 1920s, like a giant Meccano set. That… https://t.co/AD4vX5R6Qr"
en,Emerald Isle - Ireland ☘️,@therealjuh @EightyLevel Like I was saying ... the game version is totally inaccurate in size and other details https://t.co/dZMojikDtT
en,Nairobi,RT @CatholicMe: Reflection On The Notre Dame Fire From Fr. Joseph Gill https://t.co/mgHUIr3KRc
en,England ,"Fr Jean-Marc Fournier, a Catholic priest and the chaplain of the Paris fire brigade, accompanied the firefighters i… https://t.co/rypYhLQlom"
fr,Paris,RT @NathalieChuc: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/NLGVCdVPlz
en,LoUiSiAna,IN PICTURES: Full scale of the damage at Notre-Dame revealed https://t.co/wWY3lPm9St via @TheLocalFrance
en,Anaheim CALI,"RT @CatholicHerald: Notre Dame will rise again, and will be a living church, says Fr Benedict Kiely. It will not be a museum, however much…"
en,iron planet,"RT @incunabula: If you're in the US and would like to donate to the restoration of the Cathedral, this is the official fund. The Friends of…"
fr,"Midi-Pyrénées, France",RT @LAUREPIERRE: Protection divine ? 🙏 https://t.co/hw3hINgoBd
el,Hellas,RT @TGranicAllen: Say a prayer of thanksgiving for Fr. Fournier who rescued the Blessed Sacrament &amp; The Crown of Thorns in #NotreDame. Prev…
