VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
1501967,-3348343,-33.83333,-35.83333,33.83333,35.83333
1435270,11385088,-34.5003,111.50098,34.5003,-111.50098
5885300,5734990,10,55,-10,-55
7428078,5162296,25.42778,49.27306,-25.42778,-49.27306
-1614700,2034990,-65,18,65,-18
35300,-15010,-48.5,-2.5,48.5,2.5
951694.2,8675526,-39.336058,84.40536,39.336058,-84.40536
550260,8691020,-43.3504,84.5603,43.3504,-84.5603
124679,12468197.1,-47.60621,122.332071,47.60621,-122.332071
-590544,504521,-54.75844,2.69531,54.75844,-2.69531
2657483,10021762,-22.27817,97.86772,22.27817,-97.86772
3424880,-11863230,-14.6042,-120.9822,14.6042,120.9822
549290,8266259,-43.3601,80.31269,43.3601,-80.31269
5690689,3723101,8.05389,34.88111,-8.05389,-34.88111
997511,932051,-38.87789,6.97061,38.87789,-6.97061
4085300,6834990,-8,66,8,-66
1487904.9,12059830.5,-33.973951,118.248405,33.973951,-118.248405
1035271,10085053,-38.50029,98.50063,38.50029,-98.50063
849162.9,8182070.9,-40.361371,79.470809,40.361371,-79.470809
-380950,-325149,-52.6625,-5.60139,52.6625,5.60139
1016510.6,7964766.2,-38.687894,77.297762,38.687894,-77.297762
-262700,552990,-51.48,3.18,51.48,-3.18
868594,7684977,-40.16706,74.49987,40.16706,-74.49987
1975590,11330739,-29.0971,110.95749,29.0971,-110.95749
-495016.79,539282.65,-53.8031679,3.0429265,53.8031679,-3.0429265
-514683,12735310,-53.99983,125.0032,53.99983,-125.0032
2942453,10147756,-19.42847,99.12766,19.42847,-99.12766
-472232,-766544,-53.57532,-10.01534,53.57532,10.01534
885268,9160027,-40.00032,89.25037,40.00032,-89.25037
7184633,6034629,22.99333,57.99639,-22.99333,-57.99639
996713.3,7925487.2,-38.885867,76.904972,38.885867,-76.904972
1472560.2,8683168.7,-34.127398,84.481787,34.127398,-84.481787
601967,-1048343,-42.83333,-12.83333,42.83333,12.83333
478827.7,12634664.7,-44.064723,123.996747,44.064723,-123.996747
185300,-565010,-47,-8,47,8
813873.1,7635587.3,-40.714269,74.005973,40.714269,-74.005973
7238550,4914157,23.5325,46.79167,-23.5325,-46.79167
8285300,6634990,34,64,-34,-64
5885300,5734990,10,55,-10,-55
1308573,814965,-35.76727,5.79975,35.76727,-5.79975
550260,8691020,-43.3504,84.5603,43.3504,-84.5603
4665700,-9989060,-2.196,-102.2405,2.196,102.2405
860266,8535008,-40.25034,83.00018,40.25034,-83.00018
157818,12511365,-47.27482,122.76375,47.27482,-122.76375
1316764,-13740319,-35.68536,-139.75309,35.68536,139.75309
8485300,6234990,36,60,-36,-60
85300,214990,-48,-0.2,48,0.2
270467.2,12190957.4,-46.148328,119.559674,46.148328,-119.559674
960276,11410093,-39.25024,111.75103,39.25024,-111.75103
8377445,6030443,34.92145,57.95453,-34.92145,-57.95453
3385300,8884990,-15,86.5,15,-86.5
5885300,5734990,10,55,-10,-55
1415926,-13315228,-34.69374,-135.50218,34.69374,135.50218
1879083.1,9773386.6,-30.062169,95.383966,30.062169,-95.383966
